Year,Month,Date Event Begin,Time Event Begin,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2020,January,01/09/2020,23:07,01/09/2020,23:19,Arkansas: Yell County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0
2020,January,01/09/2020,20:45,01/10/2020,21:23,Washington: King County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
2020,January,01/09/2020,07:40,01/09/2020,08:48,Minnesota: North Dakota: Wisconsin:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,January,01/09/2020,23:07,01/09/2020,23:18,Arkansas:,SPP RE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,Unknown,Unknown
2020,January,01/10/2020,14:53,Unknown,Unknown,Tennessee: Hamilton County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown
2020,January,01/11/2020,02:25,01/11/2020,07:56,Arkansas: Cross County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,22,7541
2020,January,01/11/2020,23:02,01/12/2020,02:01,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,66475
2020,January,01/11/2020,03:30,01/11/2020,17:30,Arkansas: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68138
2020,January,01/11/2020,13:20,Unknown,Unknown,Tennessee:,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,4,Unknown
2020,January,01/11/2020,12:50,01/12/2020,13:33,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,219,30715
2020,January,01/12/2020,11:15,01/12/2020,11:18,Texas: Brazos County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,January,01/14/2020,00:00,01/14/2020,01:00,Florida: Alachua County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,January,01/16/2020,11:06,01/16/2020,11:36,Texas: Harris County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,January,01/17/2020,05:28,01/17/2020,10:13,California: Humboldt County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,87,67864
2020,January,01/20/2020,06:30,01/20/2020,06:31,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,January,01/22/2020,02:57,01/22/2020,03:17,Nevada: Humboldt County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,7,3120
2020,January,01/23/2020,23:30,01/24/2020,00:39,Florida: Manatee County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
2020,January,01/24/2020,04:34,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0
2020,January,01/27/2020,14:10,01/27/2020,18:58,North Dakota: South Dakota: Montana:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,540,130000
